Ссылка,Статус
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BOUS9XAQDTFH2/securityCode/2013073851064,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/BOUS9XAQDTFH2/securityCode/2013073851064 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CQ0VC27VGTCK6/securityCode/2013073880545,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/CQ0VC27VGTCK6/securityCode/2013073880545 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IG4Q770QDXGH7/securityCode/2013074184369,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/IG4Q770QDXGH7/securityCode/2013074184369 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CFYN438ZLLFN2/securityCode/2013074127359,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/CFYN438ZLLFN2/securityCode/2013074127359 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/FRWX11FTJU5F9/securityCode/2013074190032,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/FRWX11FTJU5F9/securityCode/2013074190032 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/EJBU9703FPF54/securityCode/2013074155734,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/EJBU9703FPF54/securityCode/2013074155734 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CK5O133ZKLJE8/securityCode/2013074127359,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/CK5O133ZKLJE8/securityCode/2013074127359 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5G2T615VCPFG1/securityCode/2013073969189,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/5G2T615VCPFG1/securityCode/2013073969189 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
