Ссылка,Статус
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BOUS9XAQDTFH2/securityCode/2013073851064,"OK - application/pdf, 1182821 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848,"OK - application/pdf, 1294220 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CQ0VC27VGTCK6/securityCode/2013073880545,"OK - application/pdf, 1331050 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IG4Q770QDXGH7/securityCode/2013074184369,"OK - application/pdf, 9578196 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CFYN438ZLLFN2/securityCode/2013074127359,"OK - application/pdf, 4705189 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/FRWX11FTJU5F9/securityCode/2013074190032,"OK - application/pdf, 1119222 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/EJBU9703FPF54/securityCode/2013074155734,"OK - text/html; charset=UTF-8, 40 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848,"OK - application/pdf, 1294220 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CK5O133ZKLJE8/securityCode/2013074127359,"OK - application/pdf, 2932843 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5G2T615VCPFG1/securityCode/2013073969189,"OK - application/pdf, 633206 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/HS5N558YBNEK3/securityCode/2013074004858,"OK - application/pdf, 1583911 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7H2Q3790FZEI5/securityCode/2013073926618,"OK - application/pdf, 5075808 bytes"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/4O2V205Z9TCG2/securityCode/2013073973599,"OK - application/pdf, 925977 bytes"
