Ссылка,Статус
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BOUS9XAQDTFH2/securityCode/2013073851064,"OK - PDF (verify=False), 1,182,821 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848,"OK - PDF (verify=False), 1,294,220 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CQ0VC27VGTCK6/securityCode/2013073880545,"OK - PDF (verify=False), 1,331,050 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IG4Q770QDXGH7/securityCode/2013074184369,"OK - PDF (verify=False), 9,578,196 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CFYN438ZLLFN2/securityCode/2013074127359,"OK - PDF (verify=False), 4,705,189 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/FRWX11FTJU5F9/securityCode/2013074190032,"OK - PDF (verify=False), 1,119,222 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/EJBU9703FPF54/securityCode/2013074155734,"OK - HTML (verify=False), 40 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848,"OK - PDF (verify=False), 1,294,220 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CK5O133ZKLJE8/securityCode/2013074127359,"OK - PDF (verify=False), 2,932,843 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5G2T615VCPFG1/securityCode/2013073969189,"OK - PDF (verify=False), 633,206 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/HS5N558YBNEK3/securityCode/2013074004858,"OK - PDF (verify=False), 1,583,911 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7H2Q3790FZEI5/securityCode/2013073926618,"OK - PDF (verify=False), 5,075,808 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/4O2V205Z9TCG2/securityCode/2013073973599,"OK - PDF (verify=False), 925,977 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5S2WF92X7X4R8/securityCode/2013074079955,"OK - PDF (verify=False), 2,253,946 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7G6YCW5R9NCP4/securityCode/2013073967178,"OK - PDF (verify=False), 966,472 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7FYS428VLM4F4/securityCode/2013074021602,"OK - PDF (verify=False), 3,328,137 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/FN5P1X6ZIP6R3/securityCode/2013074048357,"OK - PDF (verify=False), 4,937,932 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5GTUD58SJQ5N6/securityCode/2013073928629,"OK - PDF (verify=False), 4,667,754 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/6R3U2Y63JZ6M3/securityCode/2013073928629,"OK - PDF (verify=False), 6,597,685 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CTTO324Z8MDO7/securityCode/2013074147166,"OK - PDF (verify=False), 2,554,893 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/3R3T11BQ6TJI1/securityCode/2013073973599,"OK - PDF (verify=False), 7,622,305 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/8I2N14CVELIQ5/securityCode/2013073980269,"OK - PDF (verify=False), 9,501,374 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9T3M953ZBUHO4/securityCode/2013073967857,"OK - PDF (verify=False), 955,140 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DR4Y1584JW9F4/securityCode/2013073886585,"OK - PDF (verify=False), 5,144,841 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/356V078ZELIK9/securityCode/2013073928629,"OK - HTML (verify=False), 40 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/COUQ976XEZCH7/securityCode/2013074010279,"OK - PDF (verify=False), 1,426,546 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9J3V97AV8T4M8/securityCode/2013074147166,"OK - PDF (verify=False), 1,568,107 байт"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DLUX84ASKYII6/securityCode/2013074013836,"OK - PDF (verify=False), 625,397 байт"
