apostille_no,security_code,working_link,case_number,signer,issue_type,description
BOUS9XAQDTFH2,2013073851064,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BOUS9XAQDTFH2/securityCode/2013073851064,07-6/3-41,Мирон Алёна,incomplete_link,Ссылка обрезана в PDF
IMWM44AZGX6N6,2013073817848,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/securityCode/2013073817848,000278,Топорец Ирина,incomplete_link,Ссылка обрезана в PDF
CQ0VC27VGTCK6,2013073880545,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CQ0VC27VGTCK6/securityCode/2013073880545,21-021527,Гонза Наталья,incomplete_link,Ссылка обрезана в PDF
IG4Q770QDXGH7,2013074184369,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IG4Q770QDXGH7/securityCode/2013074184369,723,Тома Надежда,incomplete_link,Ссылка обрезана в PDF
7G6YCW5R9NCP4,2013073967178,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7G6YCW5R9NCP4/securityCode/2013073967178,318,Тома Надежда,incomplete_link,Ссылка обрезана в PDF
CTTO324Z8MDO7,2013074147166,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CTTO324Z8MDO7/securityCode/2013074147166,2-5486,Василий Стахурский,incomplete_link,Ссылка обрезана в PDF
9T3M953ZBUHO4,2013073967857,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9T3M953ZBUHO4/securityCode/2013073967857,29244,Гузун Корнелиу,incomplete_link,Ссылка обрезана в PDF
COUQ976XEZCH7,2013074010279,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/COUQ976XEZCH7/securityCode/2013074010279,267,Волентир Андрей,incomplete_link,Ссылка обрезана в PDF
3HWVD912FN7H4,2013074053054,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/3HWVD912FN7H4/securityCode/2013074053054,92/21,Фельдман Ян,incomplete_link,Ссылка обрезана в PDF
BO2TCZ6WHSFG4,2013074052736,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO2TCZ6WHSFG4/securityCode/2013074052736,20.06.2555,Куров Игорь,incomplete_link,Ссылка обрезана в PDF
BO1SF0EVBU6P7,2013073999025,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO1SF0EVBU6P7/securityCode/2013073999025,1372,Парашка Василий,incomplete_link,Ссылка обрезана в PDF
9OVS71FRKM4S3,2013073942632,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9OVS71FRKM4S3/securityCode/2013073942632,784,Стела Пынзару,incomplete_link,Ссылка обрезана в PDF
DOYO489SCL5K2,2013074137051,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DOYO489SCL5K2/securityCode/2013074137051,4rh-7/2019,Катана Анжелла,incomplete_link,Ссылка обрезана в PDF
