apostille_no,security_code,working_link,case_number,signer,issues
BOUS9XAQDTFH2,2013073851064,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BOUS9XAQDTFH2/sec,7-6/3,Мирон Алёна И,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k"
IMWM44AZGX6N6,2013073817848,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N6/sec,,Топорец Ирина Специалист,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k, ,,  , m, i, s, s, i, n, g, _, c, a, s, e"
CQ0VC27VGTCK6,2013073880545,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CQ0VC27VGTCK6/sec,1-021527,Гонза Наталья Офицер,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k"
IG4Q770QDXGH7,2013074184369,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IG4Q770QDXGH7/secu,,Тома Надежда Вицепрезидент,"m, i, s, s, i, n, g, _, c, a, s, e"
7G6YCW5R9NCP4,2013073967178,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7G6YCW5R9NCP4/sec,,Тома Надежда Судья,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k, ,,  , m, i, s, s, i, n, g, _, c, a, s, e"
CTTO324Z8MDO7,2013074147166,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CTTO324Z8MDO7/sec,2-5486,Василий Стахурский Нотариус,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k"
9T3M953ZBUHO4,2013073967857,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9T3M953ZBUHO4/secu,,Гузун Корнелиу Судья,"m, i, s, s, i, n, g, _, c, a, s, e"
COUQ976XEZCH7,2013074010279,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/COUQ976XEZCH7/sec,,Волентир Андрей Директор,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k, ,,  , m, i, s, s, i, n, g, _, c, a, s, e"
3HWVD912FN7H4,2013074053054,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/3HWVD912FN7H4/sec,2/21,Фельдман Ян Президент,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k"
BO2TCZ6WHSFG4,2013074052736,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO2TCZ6WHSFG4/sec,,Куров Игорь Директор,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k, ,,  , m, i, s, s, i, n, g, _, c, a, s, e"
BO1SF0EVBU6P7,2013073999025,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO1SF0EVBU6P7/sec,,Парашка Василий Директор,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k, ,,  , m, i, s, s, i, n, g, _, c, a, s, e"
9OVS71FRKM4S3,2013073942632,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9OVS71FRKM4S3/sec,,Стела Пынзару И,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k, ,,  , m, i, s, s, i, n, g, _, c, a, s, e"
DOYO489SCL5K2,2013074137051,https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DOYO489SCL5K2/sec,7/2019,Катана Анжелла Вицепрезидент,"i, n, c, o, m, p, l, e, t, e, _, l, i, n, k"
